PULocationID,Borough,Zone,avg_tip_pct,count
109,Staten Island,Great Kills,2208.5509739891586,454
1,EWR,Newark Airport,564.0801578651615,55285
265,N/A,Outside of NYC,560.8520427641682,506390
253,Queens,Willets Point,380.44535719062503,2172
94,Bronx,Fordham South,365.6405398429869,13531
8,Queens,Astoria Park,318.18330487518256,5179
252,Queens,Whitestone,172.17942426294888,10944
31,Bronx,Bronx Park,113.78863401573223,4366
208,Bronx,Schuylerville/Edgewater Park,112.64828106188386,20217
38,Queens,Cambria Heights,88.07291388378313,15744
111,Brooklyn,Green-Wood Cemetery,78.90357991840088,1032
194,Manhattan,Randalls Island,60.723267867141644,29778
219,Queens,Springfield Gardens South,57.36651845665646,58099
169,Bronx,Mount Hope,57.346258337850756,33171
76,Brooklyn,East New York,56.78304526240451,133426
101,Queens,Glen Oaks,56.42167335071852,11870
178,Brooklyn,Ocean Parkway South,53.542898035302606,10494
15,Queens,Bay Terrace/Fort Totten,50.541544839642135,7607
20,Bronx,Belmont,44.25745331963315,15054
28,Queens,Briarwood/Jamaica Hills,44.15432851230664,60098
